activation_protocol,associated_governance,audio_file,binary_pattern,bonded_to,capabilities,contraindications,core_principle,dispute_resolution,divination_use,dosage,endpoint_id,english,entity_id,essence,ethical_guidance,frequency,id,implementation_status,insignia,interpretation,labels,layer,local_names,manifestation,medicinal_uses,method,name,name_english,name_yoruba,odu_number,origin,origin_country,origin_region,philosophy_embodied,pos,preparation,rate_limit,region,regions,related_healing_practice,related_proverbs,related_themes,ritual_context,role,scientific_name,speaker,spiritual_component,spiritual_use,status,strengths,syllables,symbolic_meaning,title,tone_pattern,version,vows,word
,,,01011111,,,,,,Favorable conditions,,,,,,,,749,,,Beneficial currents - lucky flows,OduIfa:SoulLayer,,,,,,,Fortunate Flow,Oturupon-Okonron,95,,,,,,,,,,,,"['beneficial', 'favorable', 'fortune']",Beneficial flow,,,,,,,,,Fortunate currents,,,,,
,,,01100000,,,,,,Intense spiritual seeking,,,,,,,,750,,,Passionate pursuit of enlightenment,OduIfa:SoulLayer,,,,,,,Fire Toward Light,Otura-Ogbe,96,,,,,,,,,,,,"['passion', 'intensity', 'seeking']",Fire ceremonies,,,,,,,,,Passionate enlightenment,,,,,
,,,01100001,,,,,,Secret desires,,,,,,,,751,,,Hidden fire - occult passion,OduIfa:SoulLayer,,,,,,,Fire In Darkness,Otura-Oyeku,97,,,,,,,,,,,,"['hidden', 'passion', 'secret']",Hidden fire,,,,,,,,,Occult passion,,,,,
,,,01100010,,,,,,Intense quest,,,,,,,,752,,,Passionate journey - burning desire,OduIfa:SoulLayer,,,,,,,Fire On Path,Otura-Iwori,98,,,,,,,,,,,,"['passion', 'desire', 'quest']",Passionate journey,,,,,,,,,Fiery path,,,,,
,,,01100011,,,,,,Intense battles,,,,,,,,753,,,Passionate warfare - burning conflict,OduIfa:SoulLayer,,,,,,,Fire In Conflict,Otura-Odi,99,,,,,,,,,,,,"['passion', 'intensity', 'warfare']",Passionate warfare,,,,,,,,,Fiery conflict,,,,,
,,,01100100,,,,,,Intense ambition,,,,,,,,754,,,Passionate acquisition - burning desire for wealth,OduIfa:SoulLayer,,,,,,,Material Fire,Otura-Irosun,100,,,,,,,,,,,,"['passion', 'ambition', 'wealth']",Passionate acquisition,,,,,,,,,Fiery materialism,,,,,
,,,01100101,,,,,,Uncontrolled desire,,,,,,,,755,,,Unpredictable passion - wild fire,OduIfa:SoulLayer,,,,,,,Chaotic Fire,Otura-Owonrin,101,,,,,,,,,,,,"['chaos', 'wild', 'uncontrolled']",Chaos fire,,,,,,,,,Wild passion,,,,,
,,,01100110,,,,,,Intense evolution,,,,,,,,756,,,Passionate transformation - burning change,OduIfa:SoulLayer,,,,,,,Transforming Fire,Otura-Obara,102,,,,,,,,,,,,"['transformation', 'passion', 'evolution']",Fire transformation,,,,,,,,,Transformative passion,,,,,
,,,01100111,,,,,,Beneficial intensity,,,,,,,,757,,,Lucky passion - beneficial desire,OduIfa:SoulLayer,,,,,,,Fortunate Fire,Otura-Okonron,103,,,,,,,,,,,,"['fortune', 'passion', 'beneficial']",Fortunate passion,,,,,,,,,Lucky fire,,,,,
,,,01101000,,,,,,Growth through stress,,,,,,,,758,,,Stress leading to enlightenment,OduIfa:SoulLayer,,,,,,,Pressure Toward Light,Irete-Ogbe,104,,,,,,,,,,,,"['pressure', 'stress', 'growth']",Pressure ceremonies,,,,,,,,,Pressurized enlightenment,,,,,
,,,01101001,,,,,,Secret burdens,,,,,,,,759,,,Hidden stress - occult pressure,OduIfa:SoulLayer,,,,,,,Pressure In Darkness,Irete-Oyeku,105,,,,,,,,,,,,"['hidden', 'stress', 'secret']",Hidden pressure,,,,,,,,,Occult stress,,,,,
,,,01101010,,,,,,Difficult journey,,,,,,,,760,,,Stressful journey - pressure travel,OduIfa:SoulLayer,,,,,,,Pressure On Path,Irete-Iwori,106,,,,,,,,,,,,"['pressure', 'stress', 'difficulty']",Pressure journey,,,,,,,,,Stressful path,,,,,
,,,01101011,,,,,,High-stress battles,,,,,,,,761,,,Intense warfare - pressure warfare,OduIfa:SoulLayer,,,,,,,Pressure In Conflict,Irete-Odi,107,,,,,,,,,,,,"['pressure', 'intensity', 'warfare']",Pressure warfare,,,,,,,,,Intense conflict,,,,,
,,,01101100,,,,,,Material burdens,,,,,,,,762,,,Economic stress - financial pressure,OduIfa:SoulLayer,,,,,,,Material Pressure,Irete-Irosun,108,,,,,,,,,,,,"['pressure', 'stress', 'economics']",Economic pressure,,,,,,,,,Financial stress,,,,,
,,,01101101,,,,,,Unexpected burdens,,,,,,,,763,,,Unpredictable stress - chaos pressure,OduIfa:SoulLayer,,,,,,,Chaotic Pressure,Irete-Owonrin,109,,,,,,,,,,,,"['chaos', 'stress', 'unexpected']",Chaos pressure,,,,,,,,,Random stress,,,,,
,,,01101110,,,,,,Change through burden,,,,,,,,764,,,Stress-induced change - pressure transformation,OduIfa:SoulLayer,,,,,,,Transforming Pressure,Irete-Obara,110,,,,,,,,,,,,"['transformation', 'stress', 'change']",Pressure transformation,,,,,,,,,Stress evolution,,,,,
,,,01101111,,,,,,Productive burden,,,,,,,,765,,,Beneficial stress - lucky pressure,OduIfa:SoulLayer,,,,,,,Fortunate Pressure,Irete-Okonron,111,,,,,,,,,,,,"['fortune', 'stress', 'productive']",Fortunate pressure,,,,,,,,,Beneficial stress,,,,,
,,,01110000,,,,,,Winning spiritually,,,,,,,,766,,,Triumph leading to enlightenment,OduIfa:SoulLayer,,,,,,,Victory Toward Light,Ose-Ogbe,112,,,,,,,,,,,,"['victory', 'triumph', 'spiritual']",Victory ceremonies,,,,,,,,,Victorious enlightenment,,,,,
,,,01110001,,,,,,Secret wins,,,,,,,,767,,,Hidden triumph - occult victory,OduIfa:SoulLayer,,,,,,,Victory In Darkness,Ose-Oyeku,113,,,,,,,,,,,,"['hidden', 'triumph', 'secret']",Hidden victory,,,,,,,,,Occult triumph,,,,,
,,,01110010,,,,,,Successful quest,,,,,,,,768,,,Triumphant journey - winning path,OduIfa:SoulLayer,,,,,,,Victory On Path,Ose-Iwori,114,,,,,,,,,,,,"['victory', 'success', 'quest']",Victory journey,,,,,,,,,Triumphant path,,,,,
,,,01110011,,,,,,Military success,,,,,,,,769,,,Winning warfare - battle triumph,OduIfa:SoulLayer,,,,,,,Victory In Conflict,Ose-Odi,115,,,,,,,,,,,,"['victory', 'warfare', 'success']",Battle victory,,,,,,,,,Triumphant warfare,,,,,
,,,01110100,,,,,,Business success,,,,,,,,770,,,Economic triumph - financial success,OduIfa:SoulLayer,,,,,,,Material Victory,Ose-Irosun,116,,,,,,,,,,,,"['victory', 'success', 'business']",Economic victory,,,,,,,,,Material triumph,,,,,
,,,01110101,,,,,,Unexpected wins,,,,,,,,771,,,Unexpected triumph - chaos victory,OduIfa:SoulLayer,,,,,,,Chaotic Victory,Ose-Owonrin,117,,,,,,,,,,,,"['chaos', 'unexpected', 'triumph']",Chaos victory,,,,,,,,,Random triumph,,,,,
,,,01110110,,,,,,Winning change,,,,,,,,772,,,Evolutionary triumph - victory transformation,OduIfa:SoulLayer,,,,,,,Transforming Victory,Ose-Obara,118,,,,,,,,,,,,"['victory', 'evolution', 'transformation']",Victory transformation,,,,,,,,,Triumphant evolution,,,,,
,,,01110111,,,,,,Total success,,,,,,,,773,,,Lucky triumph - maximum victory,OduIfa:SoulLayer,,,,,,,Fortunate Victory,Ose-Okonron,119,,,,,,,,,,,,"['ultimate', 'complete', 'total']",Ultimate victory,,,,,,,,,Complete triumph,,,,,
,,,01111000,,,,,,Divine communion,,,,,,,,774,,,Spiritual ascension - divine connection,OduIfa:SoulLayer,,,,,,,Spirit To Light,Ofun-Ogbe,120,,,,,,,,,,,,"['spirit', 'ascension', 'divine']",Ascension ceremonies,,,,,,,,,Spiritual enlightenment,,,,,
,,,01111001,,,,,,Shadow spirituality,,,,,,,,775,,,Occult spirituality - dark mysticism,OduIfa:SoulLayer,,,,,,,Spirit In Darkness,Ofun-Oyeku,121,,,,,,,,,,,,"['occult', 'mysticism', 'shadow']",Dark mysticism,,,,,,,,,Occult spirit,,,,,
,,,01111010,,,,,,Seeking divinity,,,,,,,,776,,,Spiritual journey - quest for meaning,OduIfa:SoulLayer,,,,,,,Spirit On Path,Ofun-Iwori,122,,,,,,,,,,,,"['spiritual', 'quest', 'mystical']",Spiritual quest,,,,,,,,,Mystical journey,,,,,
,,,01111011,,,,,,Battling demons,,,,,,,,777,,,Spiritual warfare - fighting evil,OduIfa:SoulLayer,,,,,,,Spirit In Conflict,Ofun-Odi,123,,,,,,,,,,,,"['spiritual', 'warfare', 'demons']",Spiritual warfare,,,,,,,,,Holy conflict,,,,,
,,,01111100,,,,,,Practical faith,,,,,,,,778,,,Earthly spirituality - grounded mysticism,OduIfa:SoulLayer,,,,,,,Material Spirit,Ofun-Irosun,124,,,,,,,,,,,,"['grounded', 'practical', 'faith']",Grounded spirituality,,,,,,,,,Material mysticism,,,,,
,,,01111101,,,,,,Ecstatic faith,,,,,,,,779,,,Unpredictable spirituality - wild mysticism,OduIfa:SoulLayer,,,,,,,Chaotic Spirit,Ofun-Owonrin,125,,,,,,,,,,,,"['chaos', 'ecstatic', 'wild']",Chaos spirituality,,,,,,,,,Wild mysticism,,,,,
,,,01111110,,,,,,Evolving faith,,,,,,,,780,,,Spiritual evolution - mystical growth,OduIfa:SoulLayer,,,,,,,Transforming Spirit,Ofun-Obara,126,,,,,,,,,,,,"['evolution', 'transformation', 'mystical']",Spiritual evolution,,,,,,,,,Mystical transformation,,,,,
,,,01111111,,,,,,Total enlightenment,,,,,,,,781,,,Ultimate spirituality - pure mysticism,OduIfa:SoulLayer,,,,,,,Double Spirit,Ofun-Meji,127,,,,,,,,,,,,"['ultimate', 'complete', 'total']",Ultimate mysticism,,,,,,,,,Complete spirit,,,,,
,,,10000000,,,,,,Sacred endings,,,,,,,,782,,,Divine endings - sacred completion,OduIfa:SoulLayer,,,,,,,Light Closes,Ogbe-Sa,128,,,,,,,,,,,,"['divine', 'closure', 'endings']",Closing ceremonies,,,,,,,,,Divine closure,,,,,
,,,10000001,,,,,,Hidden conclusions,,,,,,,,783,,,Occult endings - mystery completion,OduIfa:SoulLayer,,,,,,,Darkness Closes,Oyeku-Sa,129,,,,,,,,,,,,"['occult', 'mystery', 'hidden']",Occult closure,,,,,,,,,Mysterious endings,,,,,
,,,10000010,,,,,,Arrival ceremonies,,,,,,,,784,,,Journey ending - destination reached,OduIfa:SoulLayer,,,,,,,Path Closes,Iwori-Sa,130,,,,,,,,,,,,"['journey', 'arrival', 'completion']",Journey completion,,,,,,,,,Path conclusion,,,,,
,,,10000011,,,,,,Battle conclusions,,,,,,,,785,,,War ending - peace achieved,OduIfa:SoulLayer,,,,,,,Conflict Closes,Odi-Sa,131,,,,,,,,,,,,"['peace', 'resolution', 'war']",Peace treaties,,,,,,,,,Conflict resolution,,,,,
,,,10000100,,,,,,Economic cycle end,,,,,,,,786,,,Material completion - harvest complete,OduIfa:SoulLayer,,,,,,,Earth Closes,Irosun-Sa,132,,,,,,,,,,,,"['harvest', 'material', 'cycle']",Harvest end,,,,,,,,,Material closure,,,,,
,,,10000101,,,,,,Stabilization,,,,,,,,787,,,Order from chaos - entropy resolved,OduIfa:SoulLayer,,,,,,,Chaos Closes,Owonrin-Sa,133,,,,,,,,,,,,"['order', 'stabilization', 'resolution']",Order restoration,,,,,,,,,Chaos resolution,,,,,
,,,10000110,,,,,,Evolution complete,,,,,,,,788,,,Transformation complete - new form stabilized,OduIfa:SoulLayer,,,,,,,Change Closes,Obara-Sa,134,,,,,,,,,,,,"['stabilization', 'evolution', 'complete']",Form stabilization,,,,,,,,,Transformation end,,,,,
,,,10000111,,,,,,Wealth established,,,,,,,,789,,,Prosperity cycle complete - abundance secured,OduIfa:SoulLayer,,,,,,,Fortune Closes,Okonron-Sa,135,,,,,,,,,,,,"['prosperity', 'wealth', 'secured']",Prosperity end,,,,,,,,,Fortune secured,,,,,
,,,10001000,,,,,,Battle end,,,,,,,,790,,,Combat ending - peace for warrior,OduIfa:SoulLayer,,,,,,,Warrior Rests,Ogunda-Sa,136,,,,,,,,,,,,"['peace', 'rest', 'conclusion']",Warrior rest,,,,,,,,,Combat conclusion,,,,,
,,,10001001,,,,,,Time completion,,,,,,,,791,,,Historical cycle complete - era ending,OduIfa:SoulLayer,,,,,,,Time Closes,Osa-Sa,137,,,,,,,,,,,,"['era', 'history', 'completion']",Era end,,,,,,,,,Historical closure,,,,,
,,,10001010,,,,,,Alliance finalized,,,,,,,,792,,,Network completion - connections secured,OduIfa:SoulLayer,,,,,,,Web Closes,Ika-Sa,138,,,,,,,,,,,,"['network', 'alliance', 'finalized']",Network secured,,,,,,,,,Connection completion,,,,,
,,,10001011,,,,,,Stream conclusion,,,,,,,,793,,,Current ending - flow stabilized,OduIfa:SoulLayer,,,,,,,Flow Closes,Oturupon-Sa,139,,,,,,,,,,,,"['stabilization', 'flow', 'conclusion']",Flow stabilization,,,,,,,,,Current completion,,,,,
,,,10001100,,,,,,Desire fulfilled,,,,,,,,794,,,Passion cooling - desire satisfied,OduIfa:SoulLayer,,,,,,,Fire Closes,Otura-Sa,140,,,,,,,,,,,,"['passion', 'fulfillment', 'satisfied']",Passion satisfied,,,,,,,,,Fire conclusion,,,,,
,,,10001101,,,,,,Burden ended,,,,,,,,795,,,Stress relieved - burden lifted,OduIfa:SoulLayer,,,,,,,Pressure Closes,Irete-Sa,141,,,,,,,,,,,,"['relief', 'released', 'ended']",Stress relief,,,,,,,,,Pressure released,,,,,
,,,10001110,,,,,,Success established,,,,,,,,796,,,Triumph complete - victory secured,OduIfa:SoulLayer,,,,,,,Victory Closes,Ose-Sa,142,,,,,,,,,,,,"['victory', 'success', 'secured']",Victory secured,,,,,,,,,Triumph complete,,,,,
,,,10001111,,,,,,Mystical completion,,,,,,,,797,,,Spiritual completion - enlightenment achieved,OduIfa:SoulLayer,,,,,,,Spirit Closes,Ofun-Sa,143,,,,,,,,,,,,"['enlightenment', 'fulfillment', 'mystical']",Enlightenment achieved,,,,,,,,,Spiritual fulfillment,,,,,
,,,10010000,,,,,,Holy passion,,,,,,,,798,,,Divine passion - sacred fire,OduIfa:SoulLayer,,,,,,,Light Burns,Ogbe-Tura,144,,,,,,,,,,,,"['divine', 'passion', 'sacred']",Sacred fire,,,,,,,,,Divine intensity,,,,,
,,,10010001,,,,,,Secret desire,,,,,,,,799,,,Occult fire - hidden passion,OduIfa:SoulLayer,,,,,,,Darkness Burns,Oyeku-Tura,145,,,,,,,,,,,,"['occult', 'passion', 'secret']",Occult fire,,,,,,,,,Hidden intensity,,,,,
,,,10010010,,,,,,Burning journey,,,,,,,,800,,,Passionate journey - fiery quest,OduIfa:SoulLayer,,,,,,,Path Burns,Iwori-Tura,146,,,,,,,,,,,,"['passion', 'quest', 'burning']",Fiery quest,,,,,,,,,Passionate path,,,,,
,,,10010011,,,,,,Passionate conflict,,,,,,,,801,,,Intense warfare - burning battles,OduIfa:SoulLayer,,,,,,,Conflict Burns,Odi-Tura,147,,,,,,,,,,,,"['intensity', 'warfare', 'passion']",Burning battles,,,,,,,,,Intense warfare,,,,,
,,,10010100,,,,,,Burning ambition,,,,,,,,802,,,Material passion - fiery acquisition,OduIfa:SoulLayer,,,,,,,Earth Burns,Irosun-Tura,148,,,,,,,,,,,,"['passion', 'ambition', 'intensity']",Fiery acquisition,,,,,,,,,Material intensity,,,,,
,,,10010101,,,,,,Uncontrolled desire,,,,,,,,803,,,Wild fire - chaotic passion,OduIfa:SoulLayer,,,,,,,Chaos Burns,Owonrin-Tura,149,,,,,,,,,,,,"['chaos', 'wild', 'uncontrolled']",Wild fire,,,,,,,,,Chaotic intensity,,,,,
,,,10010110,,,,,,Passionate change,,,,,,,,804,,,Passionate transformation - burning evolution,OduIfa:SoulLayer,,,,,,,Change Burns,Obara-Tura,150,,,,,,,,,,,,"['passion', 'transformation', 'intensity']",Burning evolution,,,,,,,,,Intense transformation,,,,,
,,,10010111,,,,,,Beneficial passion,,,,,,,,805,,,Lucky passion - fortunate fire,OduIfa:SoulLayer,,,,,,,Fortune Burns,Okonron-Tura,151,,,,,,,,,,,,"['fortune', 'passion', 'beneficial']",Fortunate fire,,,,,,,,,Lucky intensity,,,,,
,,,10011000,,,,,,Passionate battle,,,,,,,,806,,,Passionate warfare - burning combat,OduIfa:SoulLayer,,,,,,,Warrior Burns,Ogunda-Tura,152,,,,,,,,,,,,"['passion', 'intensity', 'warfare']",Burning combat,,,,,,,,,Intense warfare,,,,,
,,,10011001,,,,,,Passionate history,,,,,,,,807,,,Urgent time - burning deadlines,OduIfa:SoulLayer,,,,,,,Time Burns,Osa-Tura,153,,,,,,,,,,,,"['urgency', 'deadlines', 'passion']",Burning deadlines,,,,,,,,,Urgent time,,,,,
,,,10011010,,,,,,Passionate alliances,,,,,,,,808,,,Passionate connections - burning networks,OduIfa:SoulLayer,,,,,,,Web Burns,Ika-Tura,154,,,,,,,,,,,,"['passion', 'intensity', 'connections']",Burning networks,,,,,,,,,Intense connections,,,,,
,,,10011011,,,,,,Passionate streams,,,,,,,,809,,,Passionate currents - burning flows,OduIfa:SoulLayer,,,,,,,Flow Burns,Oturupon-Tura,155,,,,,,,,,,,,"['passion', 'intensity', 'flow']",Burning flows,,,,,,,,,Intense currents,,,,,
,,,10011100,,,,,,Complete passion,,,,,,,,810,,,Maximum passion - burning intensity,OduIfa:SoulLayer,,,,,,,Double Fire,Otura-Meji,156,,,,,,,,,,,,"['ultimate', 'complete', 'maximum']",Maximum intensity,,,,,,,,,Ultimate fire,,,,,
,,,10011101,,,,,,Passionate burden,,,,,,,,811,,,Intense stress - burning pressure,OduIfa:SoulLayer,,,,,,,Pressure Burns,Irete-Tura,157,,,,,,,,,,,,"['intensity', 'stress', 'pressure']",Burning pressure,,,,,,,,,Extreme stress,,,,,
,,,10011110,,,,,,Passionate success,,,,,,,,812,,,Passionate triumph - burning victory,OduIfa:SoulLayer,,,,,,,Victory Burns,Ose-Tura,158,,,,,,,,,,,,"['passion', 'intensity', 'victory']",Burning victory,,,,,,,,,Intense triumph,,,,,
,,,10011111,,,,,,Passionate spirit,,,,,,,,813,,,Ecstatic spirituality - burning faith,OduIfa:SoulLayer,,,,,,,Spirit Burns,Ofun-Tura,159,,,,,,,,,,,,"['ecstatic', 'intensity', 'passion']",Burning faith,,,,,,,,,Intense mysticism,,,,,
,,,10100000,,,,,,Holy pressure,,,,,,,,814,,,Divine pressure - sacred burden,OduIfa:SoulLayer,,,,,,,Light Presses,Ogbe-Rete,160,,,,,,,,,,,,"['divine', 'pressure', 'burden']",Sacred burden,,,,,,,,,Divine stress,,,,,
,,,10100001,,,,,,Secret stress,,,,,,,,815,,,Hidden stress - occult pressure,OduIfa:SoulLayer,,,,,,,Darkness Presses,Oyeku-Rete,161,,,,,,,,,,,,"['occult', 'pressure', 'hidden']",Occult pressure,,,,,,,,,Hidden burden,,,,,
,,,10100010,,,,,,Burdened quest,,,,,,,,816,,,Difficult journey - pressured path,OduIfa:SoulLayer,,,,,,,Path Presses,Iwori-Rete,162,,,,,,,,,,,,"['pressure', 'stress', 'burden']",Pressured path,,,,,,,,,Stressful journey,,,,,
,,,10100011,,,,,,Burdened battles,,,,,,,,817,,,Pressured warfare - stressed combat,OduIfa:SoulLayer,,,,,,,Conflict Presses,Odi-Rete,163,,,,,,,,,,,,"['pressure', 'stress', 'warfare']",Stressed combat,,,,,,,,,Pressured warfare,,,,,
,,,10100100,,,,,,Financial burden,,,,,,,,818,,,Economic pressure - material stress,OduIfa:SoulLayer,,,,,,,Earth Presses,Irosun-Rete,164,,,,,,,,,,,,"['pressure', 'stress', 'economics']",Economic stress,,,,,,,,,Material pressure,,,,,
,,,10100101,,,,,,Unpredictable burden,,,,,,,,819,,,Chaotic pressure - random stress,OduIfa:SoulLayer,,,,,,,Chaos Presses,Owonrin-Rete,165,,,,,,,,,,,,"['chaos', 'pressure', 'random']",Chaotic stress,,,,,,,,,Random pressure,,,,,
,,,10100110,,,,,,Change burden,,,,,,,,820,,,Transformation stress - evolutionary pressure,OduIfa:SoulLayer,,,,,,,Change Presses,Obara-Rete,166,,,,,,,,,,,,"['transformation', 'pressure', 'stress']",Evolution pressure,,,,,,,,,Transformative stress,,,,,
,,,10100111,,,,,,Productive burden,,,,,,,,821,,,Lucky pressure - beneficial stress,OduIfa:SoulLayer,,,,,,,Fortune Presses,Okonron-Rete,167,,,,,,,,,,,,"['fortune', 'pressure', 'beneficial']",Beneficial stress,,,,,,,,,Fortunate pressure,,,,,
,,,10101000,,,,,,Warrior burden,,,,,,,,822,,,Combat pressure - battle stress,OduIfa:SoulLayer,,,,,,,Warrior Presses,Ogunda-Rete,168,,,,,,,,,,,,"['pressure', 'stress', 'combat']",Battle stress,,,,,,,,,Combat pressure,,,,,
,,,10101001,,,,,,Urgent burden,,,,,,,,823,,,Deadline pressure - temporal stress,OduIfa:SoulLayer,,,,,,,Time Presses,Osa-Rete,169,,,,,,,,,,,,"['pressure', 'urgency', 'deadline']",Deadline stress,,,,,,,,,Time pressure,,,,,
,,,10101010,,,,,,Alliance burden,,,,,,,,824,,,Network pressure - connection stress,OduIfa:SoulLayer,,,,,,,Web Presses,Ika-Rete,170,,,,,,,,,,,,"['pressure', 'stress', 'network']",Connection stress,,,,,,,,,Network pressure,,,,,
,,,10101011,,,,,,Stream burden,,,,,,,,825,,,Current pressure - flow stress,OduIfa:SoulLayer,,,,,,,Flow Presses,Oturupon-Rete,171,,,,,,,,,,,,"['pressure', 'stress', 'flow']",Flow stress,,,,,,,,,Current pressure,,,,,
,,,10101100,,,,,,Passionate burden,,,,,,,,826,,,Passionate pressure - burning stress,OduIfa:SoulLayer,,,,,,,Fire Presses,Otura-Rete,172,,,,,,,,,,,,"['passion', 'intensity', 'pressure']",Burning stress,,,,,,,,,Intense pressure,,,,,
,,,10101101,,,,,,Complete burden,,,,,,,,827,,,Maximum stress - extreme burden,OduIfa:SoulLayer,,,,,,,Double Pressure,Irete-Meji,173,,,,,,,,,,,,"['ultimate', 'maximum', 'extreme']",Maximum stress,,,,,,,,,Ultimate pressure,,,,,
,,,10101110,,,,,,Success burden,,,,,,,,828,,,Triumphant pressure - winning stress,OduIfa:SoulLayer,,,,,,,Victory Presses,Ose-Rete,174,,,,,,,,,,,,"['victory', 'pressure', 'success']",Winning stress,,,,,,,,,Victorious pressure,,,,,
,,,10101111,,,,,,Holy burden,,,,,,,,829,,,Spiritual pressure - mystical stress,OduIfa:SoulLayer,,,,,,,Spirit Presses,Ofun-Rete,175,,,,,,,,,,,,"['spiritual', 'pressure', 'mystical']",Mystical stress,,,,,,,,,Spiritual pressure,,,,,
,,,10110000,,,,,,Holy victory,,,,,,,,830,,,Divine victory - sacred success,OduIfa:SoulLayer,,,,,,,Light Triumphs,Ogbe-Se,176,,,,,,,,,,,,"['divine', 'victory', 'sacred']",Sacred success,,,,,,,,,Divine triumph,,,,,
,,,10110001,,,,,,Secret victory,,,,,,,,831,,,Occult victory - hidden success,OduIfa:SoulLayer,,,,,,,Darkness Triumphs,Oyeku-Se,177,,,,,,,,,,,,"['occult', 'victory', 'hidden']",Occult success,,,,,,,,,Hidden triumph,,,,,
,,,10110010,,,,,,Journey victory,,,,,,,,832,,,Journey victory - quest success,OduIfa:SoulLayer,,,,,,,Path Triumphs,Iwori-Se,178,,,,,,,,,,,,"['journey', 'success', 'quest']",Quest success,,,,,,,,,Path triumph,,,,,
,,,10110011,,,,,,Battle victory,,,,,,,,833,,,Battle victory - war success,OduIfa:SoulLayer,,,,,,,Conflict Triumphs,Odi-Se,179,,,,,,,,,,,,"['war', 'victory', 'combat']",War success,,,,,,,,,Combat triumph,,,,,
,,,10110100,,,,,,Business victory,,,,,,,,834,,,Material victory - economic success,OduIfa:SoulLayer,,,,,,,Earth Triumphs,Irosun-Se,180,,,,,,,,,,,,"['economics', 'victory', 'business']",Economic success,,,,,,,,,Material triumph,,,,,
,,,10110101,,,,,,Unexpected victory,,,,,,,,835,,,Unexpected victory - chaos success,OduIfa:SoulLayer,,,,,,,Chaos Triumphs,Owonrin-Se,181,,,,,,,,,,,,"['chaos', 'victory', 'unexpected']",Chaos success,,,,,,,,,Random triumph,,,,,
,,,10110110,,,,,,Change victory,,,,,,,,836,,,Transformation victory - evolutionary success,OduIfa:SoulLayer,,,,,,,Change Triumphs,Obara-Se,182,,,,,,,,,,,,"['evolution', 'victory', 'transformation']",Evolution success,,,,,,,,,Transformative triumph,,,,,
,,,10110111,,,,,,Maximum victory,,,,,,,,837,,,Lucky victory - fortunate success,OduIfa:SoulLayer,,,,,,,Fortune Triumphs,Okonron-Se,183,,,,,,,,,,,,"['fortune', 'victory', 'lucky']",Fortunate success,,,,,,,,,Lucky triumph,,,,,
,,,10111000,,,,,,Battle victory,,,,,,,,838,,,Combat victory - military success,OduIfa:SoulLayer,,,,,,,Warrior Triumphs,Ogunda-Se,184,,,,,,,,,,,,"['military', 'victory', 'warrior']",Military success,,,,,,,,,Warrior triumph,,,,,
,,,10111001,,,,,,Era victory,,,,,,,,839,,,Historical victory - temporal success,OduIfa:SoulLayer,,,,,,,Time Triumphs,Osa-Se,185,,,,,,,,,,,,"['history', 'victory', 'temporal']",Historical success,,,,,,,,,Time triumph,,,,,
,,,10111010,,,,,,Network victory,,,,,,,,840,,,Network victory - connection success,OduIfa:SoulLayer,,,,,,,Web Triumphs,Ika-Se,186,,,,,,,,,,,,"['network', 'victory', 'alliance']",Connection success,,,,,,,,,Alliance triumph,,,,,
,,,10111011,,,,,,Current victory,,,,,,,,841,,,Current victory - flow success,OduIfa:SoulLayer,,,,,,,Flow Triumphs,Oturupon-Se,187,,,,,,,,,,,,"['flow', 'victory', 'stream']",Flow success,,,,,,,,,Stream triumph,,,,,
,,,10111100,,,,,,Passionate victory,,,,,,,,842,,,Passionate victory - burning success,OduIfa:SoulLayer,,,,,,,Fire Triumphs,Otura-Se,188,,,,,,,,,,,,"['passion', 'victory', 'intensity']",Burning success,,,,,,,,,Intense triumph,,,,,
,,,10111101,,,,,,Burden victory,,,,,,,,843,,,Stressed victory - burdened success,OduIfa:SoulLayer,,,,,,,Pressure Triumphs,Irete-Se,189,,,,,,,,,,,,"['pressure', 'victory', 'burden']",Stressed success,,,,,,,,,Pressured triumph,,,,,
,,,10111110,,,,,,Total victory,,,,,,,,844,,,Maximum triumph - ultimate success,OduIfa:SoulLayer,,,,,,,Double Victory,Ose-Meji,190,,,,,,,,,,,,"['ultimate', 'complete', 'total']",Ultimate success,,,,,,,,,Complete triumph,,,,,
,,,10111111,,,,,,Holy victory,,,,,,,,845,,,Spiritual victory - mystical success,OduIfa:SoulLayer,,,,,,,Spirit Triumphs,Ofun-Se,191,,,,,,,,,,,,"['spiritual', 'victory', 'mystical']",Mystical success,,,,,,,,,Spiritual triumph,,,,,
,,,11000000,,,,,,Holy faith,,,,,,,,846,,,Divine spirituality - sacred mysticism,OduIfa:SoulLayer,,,,,,,Light Spiritualizes,Ogbe-Fun,192,,,,,,,,,,,,"['divine', 'spiritual', 'sacred']",Sacred mysticism,,,,,,,,,Divine spirituality,,,,,
,,,11000001,,,,,,Secret faith,,,,,,,,847,,,Occult spirituality - hidden mysticism,OduIfa:SoulLayer,,,,,,,Darkness Spiritualizes,Oyeku-Fun,193,,,,,,,,,,,,"['occult', 'spiritual', 'hidden']",Occult mysticism,,,,,,,,,Hidden spirituality,,,,,
,,,11000010,,,,,,Holy journey,,,,,,,,848,,,Spiritual journey - mystical quest,OduIfa:SoulLayer,,,,,,,Path Spiritualizes,Iwori-Fun,194,,,,,,,,,,,,"['spiritual', 'mystical', 'quest']",Mystical quest,,,,,,,,,Spiritual path,,,,,
