odu_number,binary_pattern,name_yoruba,name_english,interpretation,ritual_context,symbolic_meaning,divination_use,related_themes
199,11000111,Okonron-Fun,Fortune Spiritualizes,Lucky spirituality - fortunate mysticism,Fortunate mysticism,Lucky faith,Blessed spirituality,fortune|spiritual|blessed
200,11001000,Ogunda-Fun,Warrior Spiritualizes,Spiritual warfare - holy combat,Holy combat,Warrior spirituality,Sacred warfare,spiritual|warfare|sacred
201,11001001,Osa-Fun,Time Spiritualizes,Historical spirituality - temporal mysticism,Temporal mysticism,Historical faith,Era spirituality,temporal|spiritual|history
202,11001010,Ika-Fun,Web Spiritualizes,Spiritual networks - mystical connections,Mystical connections,Spiritual alliances,Holy networks,spiritual|mystical|network
203,11001011,Oturupon-Fun,Flow Spiritualizes,Spiritual currents - mystical flows,Mystical flows,Spiritual streams,Holy currents,spiritual|mystical|flow
204,11001100,Otura-Fun,Fire Spiritualizes,Passionate spirituality - burning faith,Burning faith,Intense mysticism,Passionate spirituality,passion|spiritual|intensity
205,11001101,Irete-Fun,Pressure Spiritualizes,Stressed spirituality - burdened faith,Burdened faith,Pressured mysticism,Stressed spirituality,pressure|spiritual|burden
206,11001110,Ose-Fun,Victory Spiritualizes,Triumphant spirituality - victorious faith,Victorious faith,Triumphant mysticism,Victory spirituality,victory|spiritual|triumph
207,11001111,Ofun-Meji,Double Spirit,Ultimate spirituality - complete mysticism,Complete mysticism,Ultimate spirituality,Total enlightenment,ultimate|complete|total
208,11010000,Ogbe-Gunda,Light Wars,Divine warfare - holy combat,Holy warfare,Sacred combat,Divine battles,divine|warfare|holy
209,11010001,Oyeku-Gunda,Darkness Wars,Occult warfare - hidden combat,Occult combat,Hidden warfare,Secret battles,occult|warfare|hidden
210,11010010,Iwori-Gunda,Path Wars,Journey warfare - quest combat,Quest combat,Path warfare,Journey battles,journey|warfare|quest
211,11010011,Odi-Gunda,Double Conflict,Maximum warfare - ultimate combat,Ultimate warfare,Complete combat,Total battles,ultimate|complete|total
212,11010100,Irosun-Gunda,Earth Wars,Material warfare - economic combat,Economic warfare,Material combat,Resource battles,economics|warfare|resources
213,11010101,Owonrin-Gunda,Chaos Wars,Chaotic warfare - random combat,Chaotic combat,Random warfare,Unpredictable battles,chaos|warfare|random
214,11010110,Obara-Gunda,Change Wars,Transformative warfare - evolutionary combat,Evolution warfare,Transformative combat,Revolutionary battles,evolution|warfare|revolutionary
215,11010111,Okonron-Gunda,Fortune Wars,Lucky warfare - fortunate combat,Fortunate combat,Lucky warfare,Profitable battles,fortune|warfare|profitable
216,11011000,Ogunda-Meji,Double Warrior,Maximum combat - ultimate warfare,Ultimate combat,Complete warfare,Total battle,ultimate|complete|total
217,11011001,Osa-Gunda,Time Wars,Historical warfare - temporal combat,Temporal warfare,Historical combat,Era battles,temporal|warfare|history
218,11011010,Ika-Gunda,Web Wars,Network warfare - connection combat,Network combat,Alliance warfare,Connection battles,network|warfare|alliance
219,11011011,Oturupon-Gunda,Flow Wars,Current warfare - flow combat,Flow combat,Stream warfare,Current battles,flow|warfare|stream
220,11011100,Otura-Gunda,Fire Wars,Passionate warfare - burning combat,Burning combat,Intense warfare,Passionate battles,passion|warfare|intensity
221,11011101,Irete-Gunda,Pressure Wars,Stressed warfare - burdened combat,Stressed combat,Pressured warfare,Burden battles,pressure|warfare|burden
222,11011110,Ose-Gunda,Victory Wars,Triumphant warfare - victorious combat,Victorious combat,Triumphant warfare,Winning battles,victory|warfare|winning
223,11011111,Ofun-Gunda,Spirit Wars,Spiritual warfare - mystical combat,Mystical combat,Spiritual warfare,Holy battles,spiritual|warfare|holy
224,11100000,Ogbe-Ka,Light Connects,Divine networks - sacred connections,Sacred connections,Divine alliances,Holy networks,divine|connections|sacred
225,11100001,Oyeku-Ka,Darkness Connects,Occult networks - hidden connections,Occult connections,Hidden alliances,Secret networks,occult|connections|hidden
226,11100010,Iwori-Ka,Path Connects,Journey networks - quest connections,Quest connections,Path alliances,Journey networks,journey|connections|quest
227,11100011,Odi-Ka,Conflict Connects,War alliances - battle networks,War alliances,Combat connections,Battle networks,war|alliances|combat
228,11100100,Irosun-Ka,Earth Connects,Economic networks - material connections,Economic connections,Material alliances,Resource networks,economics|connections|resources
229,11100101,Owonrin-Ka,Chaos Connects,Chaotic networks - random connections,Chaotic connections,Random alliances,Unpredictable networks,chaos|connections|random
230,11100110,Obara-Ka,Change Connects,Transformative networks - evolutionary connections,Evolution connections,Transformative alliances,Revolutionary networks,evolution|connections|revolutionary
231,11100111,Okonron-Ka,Fortune Connects,Lucky networks - fortunate connections,Fortunate connections,Lucky alliances,Profitable networks,fortune|connections|profitable
232,11101000,Ogunda-Ka,Warrior Connects,Military alliances - combat networks,Military alliances,Warrior connections,Combat networks,military|alliances|combat
233,11101001,Osa-Ka,Time Connects,Historical networks - temporal connections,Temporal connections,Historical alliances,Era networks,temporal|connections|history
234,11101010,Ika-Meji,Double Web,Maximum networks - ultimate connections,Ultimate connections,Complete alliances,Total networks,ultimate|complete|total
235,11101011,Oturupon-Ka,Flow Connects,Current networks - flow connections,Flow connections,Stream alliances,Current networks,flow|connections|stream
236,11101100,Otura-Ka,Fire Connects,Passionate networks - burning connections,Burning connections,Intense alliances,Passionate networks,passion|connections|intensity
237,11101101,Irete-Ka,Pressure Connects,Stressed networks - burdened connections,Stressed connections,Pressured alliances,Burden networks,pressure|connections|burden
238,11101110,Ose-Ka,Victory Connects,Triumphant networks - victorious connections,Victorious connections,Triumphant alliances,Winning networks,victory|connections|winning
239,11101111,Ofun-Ka,Spirit Connects,Spiritual networks - mystical connections,Mystical connections,Spiritual alliances,Holy networks,spiritual|connections|mystical
240,11110000,Ogbe-Turupon,Light Flows,Divine currents - sacred flows,Sacred flows,Divine streams,Holy currents,divine|flows|sacred
241,11110001,Oyeku-Turupon,Darkness Flows,Occult currents - hidden flows,Occult flows,Hidden streams,Secret currents,occult|flows|hidden
242,11110010,Iwori-Turupon,Path Flows,Journey currents - quest flows,Quest flows,Path streams,Journey currents,journey|flows|quest
243,11110011,Odi-Turupon,Conflict Flows,War currents - battle flows,War flows,Combat streams,Battle currents,war|flows|combat
244,11110100,Irosun-Turupon,Earth Flows,Economic currents - material flows,Economic flows,Material streams,Resource currents,economics|flows|resources
245,11110101,Owonrin-Turupon,Chaos Flows,Chaotic currents - random flows,Chaotic flows,Random streams,Unpredictable currents,chaos|flows|random
246,11110110,Obara-Turupon,Change Flows,Transformative currents - evolutionary flows,Evolution flows,Transformative streams,Revolutionary currents,evolution|flows|revolutionary
247,11110111,Okonron-Turupon,Fortune Flows,Lucky currents - fortunate flows,Fortunate flows,Lucky streams,Profitable currents,fortune|flows|profitable
248,11111000,Ogunda-Turupon,Warrior Flows,Military currents - combat flows,Military flows,Warrior streams,Combat currents,military|flows|combat
249,11111001,Osa-Turupon,Time Flows,Historical currents - temporal flows,Temporal flows,Historical streams,Era currents,temporal|flows|history
250,11111010,Ika-Turupon,Web Flows,Network currents - connection flows,Connection flows,Alliance streams,Network currents,network|flows|alliance
251,11111011,Oturupon-Meji,Double Flow,Maximum currents - ultimate flows,Ultimate flows,Complete streams,Total currents,ultimate|complete|total
252,11111100,Otura-Turupon,Fire Flows,Passionate currents - burning flows,Burning flows,Intense streams,Passionate currents,passion|flows|intensity
253,11111101,Irete-Turupon,Pressure Flows,Stressed currents - burdened flows,Stressed flows,Pressured streams,Burden currents,pressure|flows|burden
254,11111110,Ose-Turupon,Victory Flows,Triumphant currents - victorious flows,Victorious flows,Triumphant streams,Winning currents,victory|flows|winning
255,11111111,Ofun-Sa,Complete Closure,Ultimate ending - absolute completion,Absolute completion,Complete closure,Total ending,ultimate|complete|absolute
