id,age_years,primary_language,scenario_type,description,reasoning_process,peer_dynamics,cultural_tension,outcome,emotional_growth,location,symbolic_logic,wisdom_gained,neural_embedding,recorded_at
mostlybc-0e1c-4b11-89f6-0f5a0cbb7702,17,Hausa,entrepreneurial,,cultural_,P,cultural ,neural_embedding,integrity,", ande: ",", ",_tension,Hausa,2024-09-01 14:50:00
mostly91-510e-45aa-b36c-fed5c9853568,14,Swahili,academic,neural_years,description,"S, ",0{.,"cultural-tension-024.484,-3-80.629,-11.",leadership,}outcome,", ",primary_language,:s,2025-09-30 21:39:00
mostlyea-01ff-4696-b121-d3f529906c2f,19,Oromo,social,"2025--,-0.59022723,0.2481.48T79 8",neural_type,", ",",",symbolic_ and,empathy,recordedpeerage_language,scenario_embedding,: ,: ,2024-04-10 18:03:00
mostly05-a9ef-45cb-bd72-ad451dd1eb9c,14,Zulu,identity,emotional:0.,",process",scenario_growth,scenario_logic,description anty with aeading ps ande,empathy,location,R ,primary0.,wisdom,2024-07-26 19:51:00
mostly01-bbac-4e0e-bb41-fb06b9f460d5,18,Oromo,academic,age-; {,", ",He_language,S_gained,neural_growth,resilience,: ,outcome,outcome,independence,2024-11-24 17:26:00
mostly38-2734-4783-8404-231dc947e746,15,Swahili,social,neural,-0.,outcome_,"A ineing ,-","He, ",empathy,recorded_growth,Pe1.,peer_dynamics,outcome,2025-09-25 04:21:00
mostly81-7ca2-4de3-8627-64c212f3392f,18,Yoruba,identity,", , ",cultural__growthcyears,adolescence,M_growth,A0 ,independence,: ,"Sa,.","scenario, ",: ,2025-09-30 21:39:00
mostlye7-dc78-4a59-8985-10e3dacac2e4,18,Yoruba,social,", ",2024_dynamics7,description0.69,D ,1 ,leadership,", ",peer_,",0.",A,2024-03-10 16:46:00
mostly04-c5bf-4c52-88a4-a55cbbef4cf2,17,Zulu,identity,primary_language,age_l,"M-.}034,-1.",", ",: ,resilience,age_type,cultural,primary, ,2024-01-19 16:14:00
mostly8b-deea-4920-ac7c-fd26f0088042,18,Amharic,cultural,-,peer_at,A_;,", Nigerialogic",outcome,integrity,: ,"H_i,1at;g.",description,description,2025-06-23 22:35:00
mostlyaa-4a99-4f7f-9ec4-9397655bf97b,17,Zulu,innovation,}_type,"Aa f ay ca a, Nigeria.",cultural_growth,: ,"Ar, andt, aals for",leadership,He_growth,", ",", ",symbolic_language,2024-01-17 17:00:00
mostlyfb-8363-4eba-8272-182e3a3071bf,17,Swahili,creative,A,peer_type,{,", ",_growth,independence,emotionals_embedding andin,cultural_logic,symbolic_,"Bed,;_",2024-09-16 16:15:00
mostly20-e62b-4e86-a181-168766e8fa75,16,Swahili,ethical,peer_,"He}, ",Hausa,symbolic_logic,neural_language,integrity, ,2024,description,", ",2024-06-27 02:32:00
mostly46-0248-4bca-9bc8-dbd36e4f5dc2,13,Yoruba,entrepreneurial,"scenario_-growth.051,1,0.",},description,", ","A-,0.23,0.,-0-0.45,-0.4,050.",leadership,reasoning_,"wisdomter-s forialers tolyer foritations,1ed, and a mer; oen a p l.",location,emotionalShe,2024-09-03 19:08:00
mostlyf4-a1e3-4ad6-8fed-121097d1e889,13,Yoruba,ethical,202400,primary,Hausa,", ",: ,independence,: ,"reasoning-, ",outcome, ,2024-06-16 13:34:00
mostly9a-1863-4836-8256-8956fe931795,18,Amharic,ethical,primary_embedding,wisdomembedding,location,", ",A-,integrity,primaryPer inyat; andy ,C,outcome,location,2024-01-16 21:01:00
mostlyc6-a893-4c09-bcf0-85e5ed2e79e3,19,Shona,ethical,-0.83,_logic,primary_embedding,",-0.490,-0.63",", ",empathy,location,outcome,If ,C_gained,2025-05-24 10:26:00
mostly4e-48a5-41d4-ae30-67ee942348c8,17,Shona,innovation,outcome,", ","2025-0.452,7 a,:1.",location,peer_,critical_thinking,: ,M ,location,recordedreasoning,2025-03-11 18:54:00
mostly38-3827-408d-bf13-0b503ec83086,15,Shona,entrepreneurial,peer_process,A ,reasoning_logic,,A_growth,leadership,peer___logic,M_processat,cultural;_logic,", ",2024-10-14 20:23:00
mostlyd8-1c7d-4286-95bc-3aa7ba583f12,15,Hausa,social,recorded_language,_embedding,,Heens d ln,reasoningprimary_years,integrity,A,,symbolic_gainedlogic,", ",2025-09-30 21:39:00
mostly8d-6b74-4838-913f-863e7a2ed554,16,Hausa,entrepreneurial,scenario,"O, ",recorded_gained,A,The,leadership,}scenariotype,A ,: ,location,2024-03-21 16:35:00
mostly65-6fc7-4742-a577-a2fe04c1ab5b,18,Igbo,ethical,"C, ",symbolic_0.18:-.,location,adolescence,neural,independence,} {,{,cultural_gained,"age_, ",2024-01-07 21:38:00
mostly31-3407-464c-a91a-db3ac97bf63f,19,Amharic,social,A ,Hem;al r in,", ",: ,description,integrity,R,He ,symbolic_logic,{,2024-04-30 06:01:00
mostlybe-ed6c-4994-aad6-559b86d4443b,19,Hausa,social, ,neural,age_type,",{",",_tension",integrity,", ",", ",adolescence,Aar ,2025-08-25 17:45:00
mostly42-b396-41e3-9d82-efba40401c9f,18,Amharic,social,", ",", ",scenario_dynamics,"2024,180.}02,-0.2948",A teen} ,leadership,", ",A}_languageersy c p ine toanit cts aen,",- ",recorded_embeddingage_years,2025-08-05 04:41:00
mostly97-3393-421f-b3b8-44b66b92acc5,14,Yoruba,social,} ,} ,wisdom_type,2024,",",independence,emotional_process,", ",He: ,location,2024-07-20 13:32:00
mostlyd2-ec21-4e57-8120-313fcce5acd5,13,Yoruba,cultural,cultural,", ",:,", ",", ",critical_thinking,", ",}} {,If ,A_years,2024-01-26 21:06:00
mostlyc1-6caa-477a-b5b2-80cea15fd426,16,Zulu,identity,Hedynamics: p; s witharing.,Hausa,P,", ",", ",leadership, ,neural_embedding,: ,scenario_logic:,2025-06-16 17:15:00
mostly79-debc-404b-b9bf-bc3bda189d81,15,Yoruba,cultural,location,", ",", ","2024--01.0,-.88.1958,-0.448.539}7,1.",symbolic,integrity,D,peer_type,descriptionyears_,"recordedma}:, {",2024-11-07 22:19:00
mostlye9-672d-4220-8172-7913c33911ed,13,Zulu,cultural,location, {,}P1.,", ",location,empathy,reasoningl,"Friends,  ",2024_growth,S_,2024-07-31 18:42:00
mostlyea-a48d-4fd9-af73-4be736eee5fc,14,Igbo,entrepreneurial,2024,",0.4",description,reasoning_process,2025,resilience,"symbolicgrowthing tos a sc, ",", ",recorded_at,"Mar, ",2024-01-26 05:01:00
mostlye1-abc5-4fb3-8689-3de9954c1832,16,Zulu,entrepreneurial,", Nigeria_logic",_years,", ",age_logic,}: ,leadership,reasoning ,recorded0.,A in studentiates hiing b.,", ",2024-02-10 23:23:00
mostly22-614a-4b20-9084-c7009242b813,19,Shona,identity,emotional,A,", ",symbolic_gained,: ,creativity,neural_embedding,{,"}-0er4es,.",:: {,2025-05-08 23:58:00
mostlyf2-ef3e-4011-8a8f-90826be0f6f7,15,Amharic,innovation,symbolic ,"ageyears in, ",age_,location,", ",resilience,reasoning_ ,wisdom_growthing,", ",} ,2025-08-15 20:55:00
mostly18-bbca-4b66-b7d0-1a6a482c5d78,17,Yoruba,creative,", ",empathy,age_logic,She,emotional,creativity,A,: {,,", ",2024-05-07 10:08:00
mostly35-92de-402a-ba6b-528faeddbd4d,14,Amharic,social,primary, ,ageingit sp and p p withb aede toi;en aarar es p,: ,}.,critical_thinking,", ",wisdom_at,recorded_{,", ",2025-09-30 21:39:00
mostly99-7b1b-4db7-a500-0d7f71b18eca,16,Shona,innovation,: ,", ",", ",reasoning,symbolic _process,leadership,", ",leadership_language,",outcome","Hegrowth, _",2025-06-28 02:51:00
mostlye2-ca9a-4338-bdd1-9f1edef8fa58,13,Oromo,innovation,,,", ","1T,1.504,1.719,0.56011.69", ,critical_thinking,S_,location,1.,: ,2024-06-06 11:21:00
mostly4a-050c-4e69-8702-e35a9c40c056,19,Igbo,cultural,peer_years,description,", ",:5,cultural_growth,leadership,1,_,scenario_years,recorded_c,2024-05-18 09:34:00
mostlye4-6435-47fc-8c8d-2cf5da516a44,13,Oromo,entrepreneurial,},location,", ",Rscenarioer fans.,: ,critical_thinking,Friendserer ,recorded_type,"-0.884,0.,10.3-.,,-0,0.23,-0.12-050.2421,-0..7",_process,2025-06-27 09:20:00
mostly19-819c-4a9f-944e-d7567b091fe1,13,Hausa,innovation,peer_years,outcome,cultural_years,A0.,emotional_process,critical_thinking,ethical{,"C} to, ",", ",Friends_,2024-04-28 09:45:00
mostly58-d6a4-4583-a893-5fa0c0fd637e,14,Shona,identity,", ",: ,emotional,", ",symbolicyears,independence,,peer__tension,{,emotional_,2024-09-26 01:14:00
mostlyf3-1ce8-493e-9896-dd0e8870aa85,16,Yoruba,cultural,location,In,Aing innyesers cersle pitch for .,", ",symbolic_,integrity,peer_years,She.,empathy,", ",2024-06-05 02:17:00
mostly25-248a-4e1b-9994-ec8ff333d09b,14,Igbo,identity,neural,: ,", ",C,reasoning_growth,independence,symbolic_gained,description: ,P_at,age_logic,2025-04-09 23:15:00
mostlyaf-b0be-41ae-8b50-f17e1fc1a2de,18,Yoruba,social,"2024, ",C_type,ageat}itsera:00,: ,"He-m, ",leadership,",scenario{",}: ,emotional_{,Heto c.,2024-06-24 11:55:00
mostly3b-e66b-4e8a-b90a-f429e4570e38,13,Oromo,cultural,},: ,"0, ",primary_{, ,critical_thinking,culturaldynamics,Friends-03 andy.,primary_growth,:,2024-06-25 23:02:00
mostly6e-ab4d-4891-b9bb-6b199d7233df,17,Amharic,social,age_-,reasoning.,He as {,D_tension,Hee thes d.,resilience,,"recorded, ",}_-,"}}embedding7, ",2024-04-23 13:20:00
mostly24-d2db-4a5e-8cc1-33e2def4d6b0,17,Amharic,ethical,:,In and,reasoning,primary ,emotional,empathy,"age-0501, ",", ",: , ,2025-07-24 12:00:00
mostly48-7bea-4be9-8b52-5341992789fa,16,Hausa,entrepreneurial,2025process:00,E.,{,reasoning_gained,outcome,integrity,,P,"SomeA,0, and and- p ",",wisdom_",2024-12-26 01:42:00
mostlybc-c25b-433a-b0d3-10d002ffd181,19,Oromo,social,: ,C,} ,", ",: ,integrity,"adolescence in, aingeditaroyinge withs in with; in, in to.",-0.1223: ,1_,leadership_type,2025-02-22 22:53:00
mostly41-8e71-492f-8400-fdc592df2371,15,Swahili,innovation,recorded {,A ,: ,symbolic_logic,"A, ",resilience,"A,scenario.",primary_dynamics,recordedage_gained,: ,2024-04-12 01:03:00
mostly9e-972e-40b7-a706-4c075ba4fb0c,17,Hausa,entrepreneurial,peer_at,peer_growth,R,symbolic_,symbolic_logicr:00languageal ,leadership,scenario_process,"-0.4.},060.28, ,-0.6,-.,1.1585",", ",P,2024-08-01 06:26:00
mostlyaa-38b5-405a-a958-2e8e86871d85,17,Zulu,entrepreneurial,H,emotional,"}, ",He_yearsy art-p: ,cultural,integrity,Cgrowth,", ",scenario_years,E: ,2024-02-18 17:32:00
mostlye9-1b94-4e03-ad51-9d987c7caaa6,17,Amharic,academic,-.1.19,}} ,_language,: ,symbolic_years,independence,P_ to,: ,neuralprocess,{,2024-09-03 16:59:00
mostly48-9fbc-4739-8ed4-859b0cc05210,17,Zulu,ethical,reasoning_type,recordedtension,"B-0.44032701.,T80.1.18",", ",: ,integrity,neural,primary_process,symbolic_growth,Some,2025-06-24 03:05:00
mostly89-819a-4c55-a2ac-b5c168c3f991,13,Yoruba,entrepreneurial,: ,"-028,-0.215,,0.",wisdom_,2025,},resilience,age_years,B,scenario {,Hausa,2025-04-22 10:31:00
mostlyd5-aff3-489b-ab2d-da260a8309fb,16,Hausa,identity,A ,neuralesat,If ,outcome,reasoning_growth,integrity,: {,Some,cultural_growth,The_growth,2025-06-25 01:35:00
mostly22-e4e4-4676-a1c2-57dd76889e25,18,Swahili,entrepreneurial,adolescence_tension,", ","location–:an int;c.,0",emotionallogictypeen foring ait meror l schooleea,"reasoningembeddinger, sn toan m ft and and d si a and s andting f c and,.",leadership,", {",C,: ,empathyyears-0.-0.-28: ,2024-11-02 04:54:00
mostlyb7-48b4-4361-a243-5985fbb6e7d5,13,Zulu,entrepreneurial,reasoning,: ,:5,description0.13,Friends_,leadership,2025_,P,If,peer_dynamics,2024-01-26 11:23:00
mostly27-08a9-4ee7-a933-d54f28767418,13,Swahili,creative,-0.,A,} ,descriptionlogic,outcome,creativity,C,",1 ",: ,: ,2025-04-24 22:01:00
mostly2c-6fc1-4ec4-8989-b1a39a158c01,19,Amharic,social,emotional,symbolic_language,description,scenario_age,"If toingared lcor: andersocar maoruar; to andersdalg-,es arrs.",leadership,Al: ,:1,: ,Het ,2024-01-02 19:22:00
mostlyab-6b42-40f9-b3cc-7b8e944d4535,19,Amharic,cultural,scenario, , ,outcome,", {",integrity,wisdom_gaineding,"He, ",location,R,2025-09-30 21:39:00
mostly1d-a1df-4f08-a09f-b4d4486ce2d3,13,Zulu,innovation,peer_dynamics,age_gained,adolescenceing,,:00,leadership,leadership,:00,_tension,neuralyears,2024-08-29 16:28:00
mostlyea-ef60-430b-b50c-21c9dd32bcf5,16,Swahili,academic,A,symbolic: ,"adolescencegrowthles_yd,y for andes st p.",description,A{,independence,independence_at,: ,emotional_,H_language,2025-09-30 21:39:00
mostly00-e60a-4f8c-be35-85141b24cb2f,14,Hausa,cultural,", {",}00,age_at,P aart-edentinged in;ing inkts.;a,Hef,resilience,: ,adolescence,cultural_process,"2024, ",2024-12-26 16:35:00
mostlybf-7dec-490f-a172-db70e5ac48f6,15,Yoruba,social,location,descriptionPtes.,empathy_,E_tension,} ,resilience,", ",: ,emotional_,description,2025-01-21 18:15:00
mostlyf2-7692-48ed-acb7-0e868c099e8e,17,Zulu,academic,emotionalt_growth,"A00nsee; bs, Ethiopia fit.",", ",C,Hee l f for d fes m,resilience,reasoningat,", ",leadership,recorded_language,2025-02-12 23:57:00
mostlyb9-4d10-476a-9697-0a635479c793,16,Shona,ethical,", ",2025,", ",age_tension,adolescence_years,integrity,C,peer_type,Someyears,: ,2025-02-06 20:53:00
mostlyf0-7445-4861-a639-b20c2074f05e,18,Hausa,entrepreneurial,ethical,,2024-,adolescence}_dynamicstype ,"2025-0ar toing: mi – forc, in_ai ",leadership,scenario ,peer_attension,"-, ",P,2024-05-28 07:04:00
mostlye7-a269-47f6-8a90-98a2e078199f,17,Yoruba,identity,:,A in.,neurallanguage,},reasoning_dynamics,leadership,outcome,", ",_embedding,"recordedata l, int s bingarrle; f.",2024-08-01 10:29:00
mostlyc7-4b1b-41e4-9d9e-28e4a98f0428,13,Oromo,cultural,"}0024, not- ",She ,emotional_growth,"0.0704,-00-0.1.",symbolic_at,critical_thinking,A{,emotionalneural,"2025 and, ","recordedlanguage acingesc bal a to iningpy the a.2,0,0.",2024-02-09 22:45:00
mostlya6-cb0a-46ac-a13e-2c886d25edb8,16,Hausa,entrepreneurial,scenario_years}: ,"adolescence-1.,0.33---01.3040,0.197,0.",description,", ","P,_type",leadership,"}-28}0.,-, tension",H.,Hausa_,:at{,2024-06-30 11:54:00
mostlyfc-bcdb-4a86-9ad8-c443e64699b8,18,Yoruba,social,", ",: ,A_- and withat d p,culturaltension_ ,cultural_growth,critical_thinking,age ,"cultural,_dynamics",peer_years,location,2024-06-09 11:17:00
mostlyfb-4886-4d42-929e-b6dac3608361,18,Amharic,social,neuralneural,emotional_dynamics,emotional,, ,resilience,neural_gained,symbolic_years,P_process,emotional ,2024-12-11 22:37:00
mostly1f-318b-46fc-80fd-4437d6c1f1c0,13,Zulu,identity,recorded_process,20250.,",-05.",A,", ",creativity,location_tension,", ",scenario_years,outcome_process,2025-08-06 07:57:00
mostly5e-09a1-48a1-8c61-fe62b2f4e1be,18,Hausa,entrepreneurial,wisdomprocess aar ,"Ai at s,",recorded_years,adolescencetype,cultural_language,leadership,recorded_logic,wisdom_at,", ",symbolic_logic,2024-04-30 16:03:00
mostly5b-26f7-4420-bfff-92a791efb003,17,Yoruba,cultural,peer_,: ,: ,2024,", ",integrity,He,", ",wisdomA ,S,2025-05-26 05:50:00
mostly54-4b16-4b4b-b0d9-e3395fb2c06f,17,Yoruba,cultural,He,outcome_type,Psi,: ,description,integrity,Some,: ,A ,", ",2024-02-26 01:03:00
mostlyb3-c14b-4319-aaf0-cc8b6e057fcd,17,Igbo,social,: ,recorded ,", ",: ,If ,resilience,S,"In1,.",} ,Bat,2025-08-19 02:48:00
mostly73-d21d-4ef2-8c85-8aca7a4193b3,15,Hausa,academic,emotional_embedding,neuralprimary_{,"1e, ","wisdom, ",},resilience,", ",description,symbolics_at,emotional-0.,2024-02-07 22:45:00
mostly5f-0cf1-49d7-8a48-3e6ea616c79e,15,Igbo,identity,emotional_at,location,", ",culturale int.,location,creativity,outcome ,age_ ,P,wisdom_at,2024-11-24 21:14:00
mostly49-ba0c-4f6c-bde3-a13cb49ee031,18,Igbo,creative,He.,", ",}_tension,: ,,creativity,: ,"ethical,-0.24,0.","Some, ",", ",2024-05-07 22:10:00
mostly36-8a3f-4f2b-96c6-d71c45065f52,16,Yoruba,academic,reasoning_growth,: ,Hear_,"B-T-.8140.880417.29,1.,-1.2709.492,-0.52-0.",.,resilience,", ",outcome,outcome,Aen.,2024-07-28 14:42:00
mostly28-0467-4c3c-bea2-fe76ecc0480c,15,Amharic,social,recorded_growth,symbolic_years,cultural,C{,"A aalallp p andeny and sr: wedg.48,-0.",resilience,R,"20240-04,-0.,8.270.166, ",", ",adolescence,2024-10-30 13:23:00
mostly2d-f780-4a51-8db6-c80eeda1514b,17,Swahili,social,A-.0.,location,}} {,Hausaembeddingt to the andtr aito inieal in andl.,primary_,leadership,peer_at,", ,",wisdomyears,outcome,2025-09-12 07:50:00
mostly60-56c3-49ae-8385-fb429cfd1c2f,15,Swahili,identity,He lr ctingt f foringyt m and m anding anderic with; aes my aing.,{,scenario_dynamics,", ",,independence,"}0.025696-03.090.2727129,0.19,-01.-019,--0.739-1.02863,002,000.33600,0..",He,symbolic_at,", ",2025-03-14 11:52:00
mostly80-e3ec-495d-b1a0-d83fb6d24170,19,Oromo,cultural,Hausa,age,}He u,A_logic,"adolescence, ",empathy,emotional_: ,"adolescence, {",primary_gained,"Atensionn.0}-20.8,-0.39, ",2025-05-09 16:24:00
mostly34-7377-436f-a3a0-0d776e44c74a,16,Hausa,identity,cultural_gained,recorded_growth,reasoning__logic,P: s,scenario_ ,independence,: , ,Theprocess,"If, ",2024-04-30 16:03:00
mostlya5-97e4-4b50-9f61-81b00fb1b406,14,Amharic,ethical,"0.7063,0.0.49,, ",Suesingialororer f andales fort a with sal with withar sin myesorital.,"P-t the,es for.","20241110.9}28, ",D;ls,integrity,", ",scenario_type,{gained.,", ",2024-04-13 23:31:00
mostlyaf-8f2a-4cb2-ad51-cbffe231e338,16,Swahili,ethical,",embeddinggained",reasoning_logic,M,neural_gained,outcome,integrity,E,", ","scenario_at, ",symbolic_gained,2024-08-06 20:26:00
mostlyd9-144e-4b49-ad15-ec5a4471018b,13,Hausa,academic,neuralembeddinglogic:00,Atensioning: ,Mi_years,: ,",-_years",empathy,reasoning_language,primaryShe,}_tension,Some{,2024-05-30 12:41:00
mostlye1-e38b-44a7-b083-dad7a8d3a7c9,19,Yoruba,cultural,: ,Insymbolic and ,recorded_type,wisdom_at,"P.41,-,0.",leadership,location,emotional_growth,", ",independence,2024-01-23 13:03:00
mostlyf7-375a-45b1-8ae4-448a7fa39642,18,Yoruba,social,,", ",:,She,scenariol,integrity,", ",recorded_years,"description, ",", ",2025-03-29 11:32:00
mostly03-2e55-4697-91a1-1c9a527c2677,19,Oromo,cultural,C_at,", ",C,}} ,: ,empathy,peer_growth,", ","A in, ","-2,0.14:963-,1.",2024-03-10 01:04:00
mostlya7-7f62-42d4-82f6-f5c570f017ff,15,Amharic,ethical,: ,description: ,emotional_,reasoning_growth,: ,integrity,A andatat,adolescence_gained,,outcome,2025-08-05 21:50:00
mostly17-01c0-47bc-a1f8-1f3d044a12df,17,Shona,innovation,An ded many with f inedes.,", growth",,", ",", ",leadership,symbolic_embedding: ,scenario_dynamics,", ",adolescence,2025-09-30 11:21:00
mostlya4-1172-4af6-b69f-f38f7937df0d,16,Hausa,innovation,wisdom ,M ,", ",: ,descriptionSe: ,leadership,:00years,symbolic__gained,: ,description,2024-05-12 06:16:00
mostly39-3cd0-4187-a9fc-4f241a65ae0a,17,Zulu,innovation,: ,", ",2024dynamicsgrowth,: ,adolescence,critical_thinking,", ",_growth,Hausa,primary_language,2024-03-14 18:11:00
mostly80-d9b6-43ec-822d-e6e0e92ac19a,18,Shona,entrepreneurial,", ",} ,} {,-01,Friends ,independence,scenario-0.,cultural_embedding,", –",wisdom_embedding,2024-05-07 15:35:00
mostlya2-1390-4966-a463-b77af8acc33d,15,Hausa,identity,symbolic-07T d}al ,"He,.", ,"P_gained_-0.4,T 1",outcome,creativity,: ,P_dynamics,scenario,: ,2025-08-27 18:20:00
mostly42-a0b2-4238-877f-dc24d58bbdb3,19,Igbo,academic,peer,location–s ar ,",ageeek to; with.2, ",He,,creativity,2024-,He ,description,recorded,2024-05-17 20:45:00
mostlyf6-1696-4090-8ec3-d7b2b6b02028,19,Swahili,academic,outcome,adolescence,He0arer,S,If ,critical_thinking,peer_growth0,location: ,leadership{,peer_gained,2024-12-10 07:52:00
mostly6e-0a1c-4724-8bda-fec0ee73ee77,18,Yoruba,innovation,P,primary_language,description,: ,He-enf1.,critical_thinking,age_0.,2025_embedding,cultural_embedding,recorded ,2024-05-18 22:50:00
mostlye3-3ac1-4c54-8135-4edc42ac6b88,19,Igbo,identity,",",: ,: ,outcome,He_ a-0.,independence,"Sheembeddingsee,o ins, – sar fel the.",description,"He}, ",peer_type,2024-06-08 12:19:00
mostly96-cc76-452a-9046-7b64c4c2e825,14,Swahili,innovation,", ",: ,location,}age_years,", ",leadership,He-0.,: ,reasoning_at,neural,2024-09-10 11:36:00
mostly92-0831-4897-aaff-735bf333a37a,14,Hausa,ethical,A,reasoning_at,neural_growth,reasoning_,"outcomegrowth fori,.",integrity,age_gained,If_at,"description, ",,2025-07-31 09:35:00
mostly99-3a47-45f8-98b1-fda131898b10,13,Oromo,academic,wisdom_,", ","}, ",recorded: ,recorded_at,critical_thinking,primary_process,: ,,2025,2025-09-30 21:39:00
mostly0f-5244-4038-addc-2f80c1670721,18,Amharic,academic,A ,A in inait ink sit lt,",00",outcome,"-09-0.636,30.9079, anding05.",leadership,primary_gained,primary_gained,outcome,empathy,2024-03-30 11:10:00
mostlyd4-65b7-44b4-b94e-013da698391e,19,Amharic,entrepreneurial,", ",primary_growth,scenario_tension,location,", ",leadership,",-_growth",primary_:,The_,recorded_,2024-11-23 05:05:00
mostly9c-8279-41c7-920b-338641f87344,14,Igbo,cultural,description,"D,: ",: ,", ",He ,empathy,neural_embedding,location,adolescence,primary_dynamics,2024-06-13 14:58:00
mostly9a-d29e-4733-8c22-64c8432f794a,19,Igbo,innovation,B,reasoning-}} ,neural_at,culturalSgrowthles sts:.,location,resilience,primary_dynamics,description,empathy,reasoning ,2025-09-30 21:39:00
mostlycb-eac8-4794-8a0d-efa7fe9c2e32,14,Igbo,social,wisdomprocess ,She,scenario_logic,recorded_,A_type,integrity,In,", ",,}: ,2024-03-01 09:56:00
mostlyf4-2e40-49b8-aca3-9aef53484a9f,19,Amharic,cultural,,", ",_at,"If, ","culturalyears paling, T ",empathy,scenario_T,peer_dynamics,: ,1_dynamics,2024-08-17 20:57:00
mostlydc-4c86-48bb-ba48-2ef7a7890471,14,Oromo,innovation,"age, ",neural ,outcome,,"Hyears-,11T asing w,edia, with- anding, foralarer fts f; si pt to.",independence,", ",_,neural,symbolic_logic,2024-04-28 01:40:00
mostlyac-aaa2-4e0e-bcbd-c926282ae182,18,Zulu,academic,"P.2308, ",neural,cultural_at,outcome,Ai for andr the c p ,leadership,wisdom_embedding,scenario_gained_type,"recorded, ",neural_gained,2025-07-01 16:10:00
mostly16-9436-4853-8a1c-702fe994ada2,18,Amharic,identity,"symbolic-0.9,1.6,23,0.42,.",",0.,--.40945,0.20319 ",2025,scenario_at,description,critical_thinking,",_logic",scenario0.,", ",A,2025-09-30 21:39:00
mostly46-bff9-4164-b82e-14495fadf428,19,Swahili,cultural,symbolic_years,outcome,"H,_-0.0,1",", ",primary_tension,empathy,If_type,Aale: inskrs.,Sheprocess,recorded_growth,2025-09-30 21:39:00
mostly8d-51a7-4ee5-a632-1550717b063d,15,Yoruba,identity,outcome,emotional_,recorded_tension,adolescence,recorded_,independence,"emotional, {",", ",outcome,",} ",2024-05-05 11:34:00
mostlycc-af5c-47a1-97f6-5e52221b519f,19,Oromo,ethical,"-0.09,-0.63,5-1.,9003,00.1,1.8638,-1.",{,scenario_years,age_,reasoning_logic,empathy,_at,", Nigeria ",adolescence in1_language,", T ",2024-03-22 13:41:00
mostly35-954f-4cdd-88ef-01d66d56fc41,14,Shona,innovation,recorded_,",",_growth,recorded: ,: ,empathy,outcome,Cembedding,,He_years,2024-05-15 23:54:00
mostlycb-288b-4ef0-8108-52863df02969,13,Igbo,academic,C_gainedlanguage,symbolic_logic,peer_growth,recorded_at,scenario_process,resilience,symbolic_logic,He_growth: ,,cultural,2025-07-26 20:08:00
mostly37-493e-42e1-9946-665520870bef,19,Oromo,innovation,,outcomeprocess,}{, ,D_gaineds tows ca:ei,independence,", ",,description,2024: ,2025-05-26 16:21:00
mostly9f-9b7f-4d7e-b2f7-4cc56ca3acb7,14,Hausa,entrepreneurial,-0.,"Hecnp in m, aes, and the, ",",-0.16,0.272470428,0.042702-,-800",},emotional_embedding,leadership,Sheee and ata the.,primary_language,", ",", ",2024-12-18 10:22:00
mostlyd5-d312-40e3-9162-e6c960dbb780,14,Yoruba,academic,",language, {",", ",S,M_tension,"Alsien- ande inar stele st within.t02,11.",integrity,emotional_,symbolic_at,"neural, ",", ",2025-03-05 04:00:00
mostly50-04cb-4880-8c9d-1f2458c50a90,17,Hausa,entrepreneurial,"-01,--1.",He_tension,Ekp to ai ini b.,location,", ",leadership,Aesaalr theo c.,A ,A a l c..,", ",2024-09-10 05:32:00
mostly14-5a3b-4409-8318-8cf367b425d8,16,Hausa,innovation,_ ,recordedtype,emotional_years,,", ",resilience,location_tension,", ",age_years,"Hers: to- m st dp with l.9,,0.95",2024-02-16 22:23:00
mostly10-91c1-48a1-95a3-7900eda2f049,13,Oromo,academic,", ",She-Ter with.,peer_ and-,1_at:,"202403,--0.",empathy,symbolic {,adolescence,"He1ci withs theing tol, au a",E,2025-03-26 23:04:00
mostlybb-9cc4-4d09-a9e6-e31cfa030b46,17,Zulu,identity,P_embedding,"O, ",The__,If,adolescence,critical_thinking,,B_logic,", ","}2, ",2025-05-20 07:21:00
mostly97-a145-4b05-9897-7d8fb0c90968,18,Amharic,entrepreneurial,Hetension,Some{ed,S,}outcome,descriptionembedding,leadership,emotional,"reasoning-09T1,-0.-115,0.509,1.",Aingt ,"A,",2025-04-07 20:23:00
mostly53-13bb-46c6-b723-130ac023eb02,19,Amharic,academic,", ",cultural ,", ",Au,primary_language,resilience,neural,"symbolicinged tos in.a with0.82371,0.091889,0.42-49,23-0.12-3}0.635-09-067,-.",: ,neural,2025-08-11 15:09:00
mostly61-a0e8-45bb-b833-2163b9d680e4,16,Igbo,cultural,", a.-}-0",neural{,If ,", ",If,independence,2024,"symbolict,",,locationr and,2024-01-27 10:40:00
mostly2f-568d-4fb9-bb4d-616222bddac2,17,Oromo,cultural,primary,leadership,Sheu,: ,"Aoingi m ; hlpe in a schoolac toalitit-ing, and, ",leadership,"2024-060.03,0.6328,00",emotional_gained,outcome,P_type,2024-03-22 12:43:00
mostly01-89a5-4a91-9699-199aa9ba86cc,13,Shona,identity,", ",}} ,2024,Akeraal licts ,2025 ,creativity,"-10,-0.39,-0.2,1.60,0.","Friendswy- p, and witharsenoer f, syen f and with,eoy.",", ",He for ,2024-09-01 14:18:00
